8 bedroom detached house for sale,/property-for-sale/property-80794139.html,"Elsworthy Road, Primrose Hill, London, NW3","£28,500,000","VIRTUAL TOUR & PROPERTY VIDEO AVAILABLE An elegant beautifully refurbished interior designed detached home (932.2 sq m/10,035 sq ft) originally built in accommodation with a lift serving all floors, a carriage driveway and a rear garden with direct access to magnificent, extensive ...","Added on 09/04/2019 by Aston Chase, London"
8 bedroom detached house for sale,/property-for-sale/property-83798710.html,"Elsworthy Road, London, NW3","£28,500,000",Low built mansion with carriage driveway & lift for sale A magnificent detached freehold house with exceptionally large and light entertaining areas set behind a carriage driveway on one of the area's most sought after tree lined Avenues. EPC: D. This extremely wide and impressive home looks on...,"Added on 20/08/2020 by Knight Frank, St John's Wood"
7 bedroom detached house for sale,/property-for-sale/property-57755931.html,"Phillimore Gardens, Kensington, London","£28,500,000","A very special detached seven bedroom family house with off-street parking and a lovely south-west facing garden backing onto Holland Park. This impressive and wide house occupies approximately 6,520 sq ft and is very well arranged over five floors","Reduced on 16/07/2020 by Strutt & Parker, Kensington"
7 bedroom detached house for sale,/property-for-sale/property-97394576.html,"Phillimore Gardens, London, W8","£28,500,000","Located on the highly sought after Phillimore Estate, this exceptional detached house offers over 6500 sq ft, open views onto Holland Park, five impressive reception rooms, seven bedrooms, off-street parking as well as a private garden. At the ground floor, the large entrance hall opens onto a sp...","Added on 18/09/2020 by Barnes International Realty, London"
3 bedroom flat for sale,/property-for-sale/property-94277630.html,"One Hyde Park, Knightsbridge, London, SW1X","£28,000,000","A beautiful, Hyde Park facing, three bedroom duplex apartment in iconic One Hyde Park An exceptional duplex family apartment of 4,441 sq ft with the formal reception room overlooking Hyde Park and the Serpentine. The apartment offers a wonderful reception room with large terrace area, three bed...","Added on 01/07/2020 by Knight Frank, Knightsbridge"
6 bedroom town house for sale,/property-for-sale/property-85982015.html,"Chapel Street, Belgravia SW1X","£28,000,000","A magnificent, exceptionally well presented six bedroom freehold town house situated in the heart of Belgravia, moments away from Knightsbridge. ","Added on 25/10/2019 by Rokstone, London"
2 bedroom apartment for sale,/property-for-sale/property-97670861.html,"South Bank Tower, 55 Upper Ground, SE1","£1,495,000","A superb two bedroom apartment for sale set within the heart of Southwark, SE1. This 13th floor apartment boasts 2 bedrooms and 2 bathrooms benefiting from sensational views over south bank and the West End. Immaculately presented over one floor, the south facing living room...","Added on 24/09/2020 by CBRE Residential, West End"
8 bedroom house for sale,/property-for-sale/property-64810998.html,"Hamilton Terrace, London, NW8","£27,500,000","This imposing house in Hamilton Terrace has been built to the highest of specifications, and interior designed by Bill Bennette to offer a glamorous, contemporary space, ideal for entertaining and stylish family living. There is a gated driveway with parking for two cars at the front and stone...","Added on 03/09/2019 by Beauchamp Estates Ltd, Mayfair - Resale"
11 bedroom detached house for sale,/property-for-sale/property-73890214.html,"Hamilton Terrace, St John's Wood, London, NW8","£27,500,000","This imposing house in Hamilton Terrace has been built to the highest of specifications, and interior designed by Bill Bennette to offer a glamorous, contemporary space, ideal for entertaining and stylish family living. There is a gated driveway with parking for two cars at the front a...","Added on 03/09/2019 by Aston Chase, London"
6 bedroom detached house for sale,/property-for-sale/property-73552941.html,"Avenue Road, St. John's Wood, London, NW8","£27,500,000",Low built lateral detached house on favored East side of St John’s Wood,"Added yesterday by Savills, St John's Wood & Regent's Park"
8 bedroom house for sale,/property-for-sale/property-94222280.html,"Knightsbridge, Knightsbridge","£27,000,000","A handsome six bedroom, four reception room Grade II listed stucco fronted house of magnificent proportion with lift and roof terrace, prestigiously situated in Knightsbridge.","Added on 02/03/2020 by The Cloister, London"
House for sale,/property-for-sale/property-89624204.html,Princes Gate,"£27,000,000","Over 9000sqft, meticulously renovated landmark house bordering Knightsbridge & South Kensington.","Added on 20/02/2020 by Nest Seekers International , London"
5 bedroom flat for sale,/property-for-sale/property-65597634.html,"One Kensington Gardens, Kensington Road, London W8","£26,000,000",An exclusive five bedroom apartment overlooking Kensington Palace Gardens. ,"Added on 07/10/2019 by Strutt & Parker, London - New Homes"
5 bedroom terraced house for sale,/property-for-sale/property-75447035.html,"Park Street, London, W1K","£25,900,000","An exceptional 5 bedroom Mayfair Townhouse Arranged over 6 floors and situated within a prime Mayfair location, this mansion house offers a grande entrance hall, separate catering kitchen, staff quarters and access to the private Green Street Gardens. EPC: D. This spacious 5 bedroom town ho...","Added on 07/09/2018 by Knight Frank, Mayfair"
5 bedroom terraced house for sale,/property-for-sale/property-83477891.html,"Park Place, St James's, London, SW1A","£25,000,000","An immaculate town house located in the heart of St James’s, which seamlessly blends contemporary design, luxurious materials and unique charm, all set behind a striking black brick façade.","Reduced on 10/06/2019 by Savills, Mayfair"
8 bedroom house for sale,/property-for-sale/property-76665631.html,"Cornwall Terrace, London, NW1","£25,000,000","Located on the south-west corner of Regent's Park on Cornwall Terrace, Silk House presents a magnificent Grade I listed home with stunning views over Regent's Park. This impressive six bedroom home has been meticulously restored to the specification of the Crown Estate and English Heritage and...","Added on 09/01/2020 by Beauchamp Estates Ltd, Mayfair - Resale"
Plot for sale,/commercial-property-for-sale/property-83329669.html,"Compton Avenue, Highgate, London, N6",POA,"Exclusive freehold development opportunity with planning permission located close to Hampstead Heath. The site extends to approximately c.0.89 acres (0.36 hectares) and occupies a quiet position at the end of a private cul-de-sac. It currently comprises a large detached house extending to 11,840...","Marketed by Knight Frank - New Homes, Prime Central London Developments"
3 bedroom apartment for sale,/property-for-sale/property-94223705.html,"One Hyde Park, Knightsbridge","£25,000,000",This truly exceptional apartment located in the most sought after location is now available. The grand property boasts magnificent views of both Knightsbridge and Hyde Park. One Hyde Park is offering luxury London living at it's absolute finest.,"Added on 18/09/2019 by The Cloister, London"
9 bedroom detached house for sale,/property-for-sale/property-77967130.html,"Holland Park, Holland Park, London, W11",POA,An exceptional freehold redevelopment opportunity located on one of London’s most prestigious streets.,"Added on 05/03/2020 by Savills, Notting Hill"
6 bedroom detached house for sale,/property-for-sale/property-79100050.html,"Hamilton Terrace, St John's Wood, London NW8","£25,000,000","An elegant period, detached, freehold house, refurbished and remodelled to the highest of standards, incorporating generous bedroom suites, luxurious entertaining spaces and magnificent lower ground level leisure facilities with swimming pool, bar area, gymnasium, Jacuzzi, sauna and home cinema. ...","Added on 25/06/2019 by Ian Green Residential, London"
6 bedroom detached house for sale,/property-for-sale/property-73393096.html,"Hamilton Terrace, St John's Wood, London, NW8","£25,000,000","A 6 bedroom Georgian house for sale in St Johns Wood, NW8 A magnificent 12,435 sq ft Georgian house built circa 1850 that has been the subject of a major renovation behind the period façade. EPC D. An elegant period, detached, freehold house, refurbished and remodelled to the highest of sta...","Added on 13/07/2018 by Knight Frank, St John's Wood"
5 bedroom terraced house for sale,/property-for-sale/property-76006889.html,"The Grande House, St James's, London, SW1A","£25,000,000","An exceptional and unique 5/6 bedroom town house for sale in St James's SW1 The Grande House, 12 Park Place is an immaculate new build town house located in the heart of St James's, which seamlessly blends contemporary design, luxurious materials and unique charm, all set behind a striking black...","Reduced on 10/06/2019 by Knight Frank, Mayfair"
5 bedroom detached house for sale,/property-for-sale/property-64130025.html,"Hamilton Terrace, St Johns Wood, London, NW8","£25,000,000",A magnificent Georgian detached family home situated on this prestigious tree lined boulevard.,"Added on 02/08/2019 by Savills, St John's Wood & Regent's Park"
8 bedroom detached house for sale,/property-for-sale/property-67945350.html,"Avenue Road, NW8","£25,000,000","'A very rare Freehold mansion, nestled in a double-width garden, available for sale for the first time in 60 years.' We are privileged to introduce this unique property, which offers the fortunate buyer a rare combination of privacy and grand living, in one of London's most sophisticated...","Added on 29/01/2020 by Glentree Estates Ltd, London"
7 bedroom semi-detached house for sale,/property-for-sale/property-89384909.html,"Bedford Gardens, Kensington, London, W8","£25,000,000","A beautifully presented period listed house, semi-detached and refurbished to an exceptionally high standard and located on one of Kensington’s most sought after roads. The house is set back from the street behind electric gates and a deep front garden and has the benefit of gene...","Added on 13/02/2020 by Aylesford International, Chelsea"
7 bedroom detached house for sale,/property-for-sale/property-86869814.html,"Addison Road, Holland Park, London, W14","£25,000,000","A stunning Holland Park family home with a large garden & parking Rebuilt approximately six years ago to the highest standard, this is an exceptional property with great lateral space, large garden and off street parking. The house has excellent entertaining space which includes a cinema room an...","Added on 22/11/2019 by Knight Frank, Kensington"
5 bedroom apartment for sale,/property-for-sale/property-97624880.html,"Lennox Gardens, Knightsbridge SW1X","£24,750,000","A stunning five bedroom triplex situated on one of the most exclusive squares in Knightsbridge, boasting high ceiling, grand proportions,exceptionally preserved period features and bespoke modern finishes. This truly impressive, highly modernised apartment offers luxury London living at its finest.","Added on 23/09/2020 by Rokstone, London"
5 bedroom flat for sale,/property-for-sale/property-72394869.html,"Lennox Gardens, London","£24,750,000","Situated over three prime floors of an elegant Grade II listed building, the property offers spacious living and entertaining space spanning an impressive 5,280 sq ft.","Added on 17/05/2020 by Strutt & Parker, Knightsbridge"
4 bedroom apartment for sale,/property-for-sale/property-70436646.html,"Mayfair Park Residences, London, W1","£24,500,000","Stunning lateral space in Mayfair A stunning example of a grand Mayfair home, benefiting from lateral space across three buildings. With hotel servicing provided by the adjacent 45 Park Lane, 5.01 at Mayfair Park Residences will provide the owner with sophisticated Mayfair living on a par wit...","Added on 12/05/2020 by JLL, London Residential Developments"
4 bedroom apartment for sale,/property-for-sale/property-77143537.html,"Chelsea Barracks, Residence 35, 8 Whistler Square, London, SW1W","£24,000,000","Situated on the fifth floor, this beautiful four-bedroom residence offers elegant lateral living spaces, where floor to ceiling windows open up wonderful vistas of Whistler Square.","Added on 31/01/2020 by Savills New Homes, Margaret Street"
6 bedroom terraced house for sale,/property-for-sale/property-88684766.html,"Victoria Road, Kensington, London, W8","£24,000,000","An exceptional low built villa for sale in the heart of Kensington, W8 A unique and substantial double fronted villa near Kensington Palace and Hyde Park. The house has been built to the highest standards and provides desirable off-street parking for two cars and a spa with swimming pool. Approx...","Added on 23/01/2020 by Knight Frank, Knightsbridge"
4 bedroom semi-detached house for sale,/property-for-sale/property-95237213.html,"Queens Avenue, Whetstone","£900,000","Real Estates are delighted to offer for sale this delightful 4 bedroom semi-detached home situated in a highly sought after residential crescent. The house is beautifully presented throughout and benefits from bright, spacious accommodation ideal for modern family living. On the ground floor the...","Added on 24/07/2020 by Real Estates, Totteridge"
7 bedroom house for sale,/property-for-sale/property-85119883.html,"Chepstow Villas, London, W11","£23,500,000","This superb freehold house on Chepstow Villas, built to the highest of specifications, offering glamorous, contemporary space, ideal for entertaining and stylish family living with the unique benefit of a fantastic attached mews house. The main house offers five/ six bedrooms and has been des...","Added on 24/09/2020 by Beauchamp Estates, London"
Detached house for sale,/property-for-sale/property-66614865.html,"Winnington Road, N2","£23,000,000","One of the finest houses to come onto the market, approached by a magnificent carriage driveway is this ambassadorial detached residence built ten years ago, standing in its own grounds. The house features a grand central staircase in beautiful white marble with ornate balustrades. The a...","Added on 25/11/2019 by Glentree Estates Ltd, London"
5 bedroom flat for sale,/property-for-sale/property-94916549.html,"Eaton Square, Belgravia, SW1W","£22,500,000","An exceptional opportunity to acquire a grand apartment of impressive proportions, occupying a superb position on the north terrace of Eaton Square. The property further benefits from a private garden (under a separate licence). ","Added on 27/05/2020 by Chestertons Estate Agents , Knightsbridge"
7 bedroom terraced house for sale,/property-for-sale/property-73410477.html,"Hanover Terrace, Regent's Park, London, NW1",POA,A stunning Grade I listed Nash residence with views across Regent's Park and the boating lake.,"Added on 20/09/2020 by Savills, St John's Wood & Regent's Park"
4 bedroom flat for sale,/property-for-sale/property-81627481.html,"St. James's House, 88 St. James's Street, London","£22,500,000","The Clarence has been finished to the highest specification combinging its historic legacy with luxury modern features, impeccable services and facilities.","Added on 02/07/2020 by Strutt & Parker, London - New Homes"
5 bedroom mews house for sale,/property-for-sale/property-78330697.html,"Wilton Mews, London, SW1X","£22,000,000","A wonderful family house located in the heart of Belgravia, just off Belgrave Square. This entirely new build house has been interior designed and project managed by the renowned prime central London firm, Finchatton. The property has impressive lateral space, with large reception rooms w...","Added on 20/03/2020 by Beauchamp Estates Ltd, Mayfair - Resale"
3 bedroom apartment for sale,/property-for-sale/property-94223693.html,"One Hyde Park, Knightsbridge","£22,000,000","The Cloister are pleased to present this stunning three bedroom apartment located in Knightsbridge, One Hyde Park, a prestigious and much sought-after location.","Added on 18/09/2019 by The Cloister, London"
6 bedroom terraced house for sale,/property-for-sale/property-77767894.html,"Chester Square, Belgravia, London, SW1W","£21,995,000","An elegant 6 bedroom stucco-fronted house for sale in Chester Square, SW1Chester Square is a classically built stucco-fronted house that is located in the highly desirable south eastern section of the square. The house benefits from 5 double bedroom suites plus staff accommodation, grand firs...","Added on 27/02/2020 by Knight Frank, Belgravia, covering Westminster"
4 bedroom house for sale,/property-for-sale/property-94307273.html,"Farm Street, Mayfair, London, W1J","£21,950,000","A stunning freehold townhouse of 8,139 square feet with a private roof terrace, swimming pool and parking, located in one of Mayfair's most highly sought after addresses.","Added on 02/07/2020 by Clifton Property Partners Ltd, London"
4 bedroom terraced house for sale,/property-for-sale/property-94314128.html,"Farm Street, Mayfair, London, W1J","£21,950,000","4 bedroom house with freehold for sale in Mayfair W1J A magnificent 4 bedroom house on one of Mayfair's most sought after streets. Spanning in excess of 8,000 sq ft, the property benefits from freehold and parking.
EPC: B. With a total of 7 floors, this property provides the perfect backdrop fo...","Added on 02/07/2020 by Knight Frank, Mayfair"
5 bedroom penthouse for sale,/property-for-sale/property-77299816.html,"Cheval House, 30 Montpelier Walk, London, SW7","£21,000,000",The Penthouse with one of London's most distinguished and unique views.,"Added on 07/02/2020 by Savills, Sloane Street"
6 bedroom terraced house for sale,/property-for-sale/property-73176660.html,"Holland Villas Road, Holland Park, London","£20,500,000","This impressive six bedroom family house offers excellent entertaining space, including a large drawing room with access onto a west-facing terrace, with steps down to a large west-facing garden. In addition the house has off-street parking.","Added on 11/09/2020 by Strutt & Parker, Kensington"
6 bedroom terraced house for sale,/property-for-sale/property-97379207.html,"Pont Street, Knightsbridge SW1X","£20,000,000",Pont Street sits within the heart of Knightsbridge and allows residents to gain immediate access to a plethora of world class amenities within the local area.,"Added on 18/09/2020 by Rokstone, London"
8 bedroom terraced house for sale,/property-for-sale/property-78152401.html,"Lygon Place, London, SW1W","£20,000,000","Set over an immaculate four floors (with passenger lift), Lygon Place has been beautifully refurbished, incorporating contemporary technology, whilst maintaining many of property's original period features including the timber flooring, cornicing and fireplaces. Arranged over a beautiful cour...","Added on 12/03/2020 by Beauchamp Estates Ltd, Mayfair - Resale"
Land for sale,/commercial-property-for-sale/property-77883373.html,"54 Holland Park, London W11 3SJ",POA,"A Grade II listed, white stucco double fronted Italianate Villa, with a south facing garden","Marketed by Savills , Margaret Street- Development"
5 bedroom house for sale,/property-for-sale/property-47838357.html,"Cornwall Terrace, London",POA,"An extremely rare opportunity to purchase a magnificent, Grade I listed, Regency styled property in one of London’s most prestigious locations. The property, spread across 9,213 sq ft, is offered in shell condition with the benefit of Planning Permission, Listed Building and Crow...","Added on 10/04/2017 by Sandfords, Regents Park"
6 bedroom house for sale,/property-for-sale/property-71877613.html,"Brook Street, London, W1K","£20,000,000","Located in the heart of Mayfair on Brook Street this attractive family house of approximately 5,640 square feet set over six floors.","Added on 23/05/2019 by Carter Jonas, Mayfair"
7 bedroom terraced house for sale,/property-for-sale/property-74337697.html,"Herbert Crescent, Knightsbridge, SW1X ",POA,"Sole Selling Agent Knightsbridge, are pleased to offer this outstanding brand new high-end development freehold house, situated in one of the most prestigious addresses in the centre of Knightsbridge. Internal area of 4,638 Sq Ft (431 Sq Meters).","Added on 24/09/2019 by Knightsbridge, Estate Agents"
8 bedroom flat for sale,/property-for-sale/property-91263203.html,"Lensbury Avenue, SW6","£20,000,000","Considered to be one of London`s most prestigious dockside developments this outstanding apartment with two points of direct lift access comprises of; eight bedroom suites, spacious reception areas, and multiple terraces with direct river views. Stretching to over 12,644 sq ft this is a truly..","Added on 09/04/2020 by Douglas & Gordon, Fulham"
7 bedroom terraced house for sale,/property-for-sale/property-61745569.html,"Cornwall Terrace, Regent's Park, London, NW1",POA,"Development opportunity in Regents Park, NW1An extremely rare opportunity to purchase a magnificent, Grade I listed, Regency styled property in one of London's most prestigious locations.The property, spread across 9,213 sq. ft., is offered in shell condition with the benefit of Planning Per...","Added on 12/09/2017 by Knight Frank, St John's Wood"
5 bedroom apartment for sale,/property-for-sale/property-83477969.html,"Park Lane, Mayfair, London, W1K","£19,950,000","A lateral flat of approximately 3,698 sq. ft. lateral flat on the fourth floor of a highly regarded, modern block on Park lane.","Reduced on 24/09/2018 by Savills, Mayfair"
6 bedroom house for sale,/property-for-sale/property-72382461.html,"Cannon Lane, Hampstead Village, NW3","£19,500,000","A spectacular and award winning newly built 6 bedroom home of contemporary design, by world renowned architect Claudio Silvestrin, situated in one of Hampstead's most sought after locations. This detached property occupies an elevated site commanding superb views of the London skyline fr...","Added on 04/02/2020 by TK International, Hampstead"
6 bedroom detached house for sale,/property-for-sale/property-89094983.html,Belgravia SW1,"£19,500,000",Smart Move is proud to announce the sale a townhouse off belgravia Square. Comprising of Over 7000 Sq Ft. Finished by renowned craftsman and artists of true quality. The property has superb proportions with traditional high ceilings and period features throughout. This unique opportunity of Sale ...,"Added on 04/02/2020 by Smart Move Residential, London"
6 bedroom house for sale,/property-for-sale/property-61069042.html,"Cannon Lane, London, NW3","£19,500,000","Arranged over five floors, this stunning modern family home is a breath taking piece of architecture and design. With a swimming pool, spa, sauna and gymnasium this house has everything you desire and more.","Added on 25/07/2017 by Beauchamp Estates Ltd, Mayfair - Resale"
2 bedroom apartment for sale,/property-for-sale/property-72759810.html,"Joseph Hardcastle Close, SE14","£325,000","*** Guide Price £325,000 - £350,000 *** This two bedroom top floor apartment is offered in a quiet residential location in Joseph Hardcastle Close, SE14.","Reduced on 14/09/2020 by Kallars, London"
5 bedroom house for sale,/property-for-sale/property-73573519.html,"Wilton Crescent, Belgravia","£19,500,000","Situated within one of London's most elegant and exclusive crescents is this exceptional Grade II Listed, late Regency, six-storey freehold house with five bedrooms, a garden and a large roof terrace.","Reduced on 26/05/2020 by Dexters, Chelsea"
5 bedroom apartment for sale,/property-for-sale/property-81658648.html,"Pont Street, London, SW1X","£19,450,000",A unique Grade II listed penthouse apartment laterally converted across three buildings with an abundance of outside space.,"Added on 03/07/2020 by Savills, Sloane Street"
5 bedroom flat for sale,/property-for-sale/property-94357781.html,"Pont Street, Knightsbridge, London, SW1X","£19,450,000","A superb 5 bedroom penthouse with exceptional terraces for sale in SW1X A spectacular, newly created penthouse apartment with 5 bedrooms and an abundance of outside space, direct lift access and a porter. Approximately 436.54 sq m (4,699 sq ft) (Including Under 1.5m Areas). This predominantly l...","Added on 03/07/2020 by Knight Frank, Knightsbridge"
7 bedroom detached house for sale,/property-for-sale/property-97558181.html,"Hamilton Terrace, London, NW8","£19,250,000",AWARD-WINNING 7 BEDROOM FAMILY HOME,"Added on 22/09/2020 by Daniel Daggers Real Estate, London"
7 bedroom terraced house for sale,/property-for-sale/property-77328070.html,"Wilton Crescent, Belgravia, London, SW1X","£19,000,000","Substantial 7 bedroom family home for sale in Belgravia SW1 Situated within one of London's most elegant crescents is this beautifully restored Grade II listed period house, overlooking the central gardens. The property is offered together with the benefit of a mews house immediately behind in...","Added on 08/02/2020 by Knight Frank, Belgravia, covering Westminster"
7 bedroom terraced house for sale,/property-for-sale/property-77313289.html,"Wilton Crescent &  Kinnerton Street, Belgravia, London, SW1X","£19,000,000",A Grade II listed terraced house with mews behind. Situated within one of London's most elegant crescents overlooking the central gardens.,"Added on 07/02/2020 by Savills, Sloane Street"
6 bedroom detached house for sale,/property-for-sale/property-76229374.html,Broomhouse Lane London SW6,"£19,000,000","A unique and newly refurbished detached, family house with spectacular views overlooking Hurlingham Park. The property has undergone extensive renovation to create a large and contemporary low-built house finished to exceptionally high standards.
Arranged over three floors the house offers six b...","Reduced on 18/02/2020 by JLL, Kensington High Street"
4 bedroom apartment for sale,/property-for-sale/property-92736377.html,"Grosvenor Square, London, W1K","£18,950,000","Luxury four bedroom apartment in the heart of Grosvenor Square.
","Added on 06/05/2020 by Wetherell, London"
3 bedroom flat for sale,/property-for-sale/property-88990169.html,"One Hyde Park, Knightsbridge, London, SW1X","£18,950,000","A 3 bedroom apartment for sale in Knightsbridge SW1X An outstanding three bedroom, interior designed apartment located on the fifth floor of One Hyde Park, the first European Residences at Mandarin Oriental and one of the most exclusive addresses in the world. Approximately 3,083 sq ft (286.49 s...","Added on 31/01/2020 by Knight Frank, Knightsbridge"
4 bedroom apartment for sale,/property-for-sale/property-90310586.html,"Grosvenor Square, London, W1K","£18,950,000","A luxurious lateral, apartment which has been designed and refurbished by Finchatton, with views over Grosvenor Square.","Added on 10/03/2020 by Savills, Mayfair"
4 bedroom flat for sale,/property-for-sale/property-90944324.html,"Grosvenor Square, Mayfair, London, W1K","£18,950,000","Masterfully designed by Finchatton, this superb lateral apartment has magnificent south facing views over Grosvenor Square. EPC: D This spectacular apartment is located on the third floor of a period building overlooking Grosvenor Square. Extending to 3,469 sq ft, the apartment benefits from ...","Added on 29/03/2020 by Knight Frank, Mayfair"
5 bedroom penthouse for sale,/property-for-sale/property-73057018.html,"The Sloane Building, Hortensia Road, London, SW10","£18,500,000",A spectacular five bedroom penthouse in this exciting conversion of a grade II listed Chelsea school building.,"Added on 17/07/2019 by Savills New Homes, Margaret Street"
